workload,ops,goroutines,depth,bufsize,blockprofilerate,run,ms
chan,100000,12,16,128,100000,15,29.123085
chan,100000,12,16,128,100000,16,24.058373
chan,100000,12,16,128,100000,17,28.251988
chan,100000,12,16,128,100000,18,23.060083
chan,100000,12,16,128,100000,19,28.803184
chan,100000,12,16,128,100000,20,28.249340
chan,100000,12,16,128,1000000,1,23.341275
chan,100000,12,16,128,1000000,2,27.960480
chan,100000,12,16,128,1000000,3,27.965699
chan,100000,12,16,128,1000000,4,28.260114
chan,100000,12,16,128,1000000,5,22.787201
chan,100000,12,16,128,1000000,6,28.314806
chan,100000,12,16,128,1000000,7,27.769908
chan,100000,12,16,128,1000000,8,27.955299
chan,100000,12,16,128,1000000,9,28.364142
chan,100000,12,16,128,1000000,10,28.056026
chan,100000,12,16,128,1000000,11,28.292778
chan,100000,12,16,128,1000000,12,28.040546
chan,100000,12,16,128,1000000,13,28.281895
chan,100000,12,16,128,1000000,14,28.111810
chan,100000,12,16,128,1000000,15,27.549470
chan,100000,12,16,128,1000000,16,26.898413
chan,100000,12,16,128,1000000,17,29.058733
chan,100000,12,16,128,1000000,18,27.354946
chan,100000,12,16,128,1000000,19,28.469475
chan,100000,12,16,128,1000000,20,28.109963
